userID,rating
1,50
2,29
3,39
4,50
5,44
6,50
7,50
8,47
9,46
10,50
11,50
12,32
13,31
14,48
15,50
16,50
17,50
18,50
19,50
20,50
21,50
22,50
23,50
24,50
25,26
26,21
27,50
28,50
29,50
30,34
31,50
32,50
33,50
34,50
35,23
36,50
37,21
38,50
39,50
40,50
41,50
42,50
43,50
44,48
45,50
46,42
47,50
48,33
49,21
50,50
51,50
52,50
53,20
54,33
55,25
56,46
57,50
58,50
59,50
60,22
61,39
62,50
63,50
64,50
65,34
66,50
67,36
68,50
69,46
70,50
71,35
72,45
73,50
74,50
75,50
76,50
77,29
78,50
79,50
80,50
81,26
82,50
83,50
84,50
85,34
86,50
87,21
88,50
89,50
90,50
91,50
92,24
93,50
94,50
95,50
96,50
97,36
98,50
99,50
100,50
101,50
102,50
103,50
104,50
105,50
106,33
107,34
108,50
109,50
110,50
111,50
112,50
113,50
114,31
115,50
116,50
117,50
118,22
119,50
120,22
121,50
122,50
123,50
124,50
125,50
126,38
127,22
128,33
129,50
130,28
131,50
132,50
133,35
134,35
135,50
136,50
137,50
138,22
139,50
140,50
141,50
142,38
143,50
144,50
145,23
146,32
147,20
148,48
149,50
150,26
151,50
152,50
153,50
154,34
155,46
156,50
157,21
158,26
159,50
160,50
161,39
162,38
163,23
164,36
165,50
166,50
167,50
168,50
169,50
170,50
171,50
172,26
173,25
174,50
175,24
176,36
177,50
178,50
179,50
180,24
181,50
182,50
183,50
184,50
185,47
186,50
187,50
188,48
189,20
190,50
191,50
192,22
193,35
194,20
195,50
196,32
197,35
198,50
199,50
200,50
201,50
202,50
203,45
204,50
205,27
206,25
207,20
208,26
209,35
210,50
211,50
212,50
213,50
214,22
215,50
216,50
217,50
218,26
219,50
220,50
221,50
222,50
223,50
224,50
225,50
226,50
227,50
228,25
229,50
230,50
231,24
232,50
233,50
234,50
235,50
236,30
237,50
238,44
239,50
240,50
241,50
242,35
243,36
244,50
245,21
246,50
247,50
248,50
249,50
250,27
251,23
252,38
253,47
254,50
255,44
256,50
257,20
258,25
259,29
260,50
261,50
262,50
263,50
264,50
265,50
266,50
267,50
268,50
269,29
270,40
271,43
272,31
273,50
274,50
275,50
276,41
277,28
278,20
279,50
280,50
281,21
282,50
283,35
284,50
285,36
286,50
287,50
288,50
289,24
290,50
291,31
292,50
293,21
294,50
295,41
296,27
297,50
298,50
299,23
300,32
301,50
302,32
303,50
304,50
305,50
306,50
307,50
308,50
309,50
310,50
311,28
312,50
313,50
314,50
315,33
316,50
317,50
318,50
319,35
320,20
321,50
322,50
323,50
324,21
325,50
326,50
327,48
328,50
329,23
330,50
331,50
332,50
333,25
334,50
335,28
336,50
337,50
338,39
339,50
340,28
341,50
342,50
343,50
344,50
345,50
346,50
347,45
348,50
349,37
350,40
351,50
352,50
353,50
354,50
355,26
356,50
357,50
358,41
359,50
360,25
361,50
362,50
363,30
364,21
365,50
366,31
367,50
368,50
369,50
370,50
371,41
372,50
373,50
374,33
375,33
376,50
377,50
378,48
379,36
380,50
381,50
382,50
383,34
384,50
385,50
386,50
387,50
388,29
389,34
390,50
391,50
392,25
393,50
394,23
395,50
396,28
397,23
398,46
399,36
400,43
401,50
402,48
403,34
404,50
405,50
406,20
407,22
408,50
409,50
410,50
411,50
412,50
413,50
414,50
415,50
416,50
417,50
418,50
419,50
420,50
421,37
422,50
423,23
424,50
425,50
426,50
427,50
428,50
429,50
430,50
431,20
432,50
433,22
434,50
435,42
436,50
437,50
438,50
439,21
440,33
441,45
442,20
443,37
444,42
445,50
446,50
447,50
448,50
449,38
450,50
451,34
452,50
453,50
454,45
455,50
456,43
457,50
458,50
459,26
460,50
461,27
462,50
463,33
464,50
465,50
466,50
467,22
468,33
469,50
470,50
471,28
472,29
473,37
474,50
475,50
476,50
477,50
478,22
479,50
480,50
481,31
482,50
483,50
484,50
485,23
486,50
487,50
488,50
489,50
490,50
491,50
492,50
493,50
494,22
495,50
496,29
497,50
498,35
499,27
500,50
501,45
502,35
503,50
504,50
505,31
506,42
507,21
508,24
509,50
510,50
511,50
512,50
513,32
514,50
515,26
516,26
517,50
518,24
519,26
520,50
521,40
522,50
523,50
524,50
525,50
526,50
527,50
528,50
529,25
530,27
531,22
532,50
533,38
534,50
535,30
536,40
537,47
538,37
539,38
540,42
541,50
542,50
543,50
544,22
545,23
546,50
547,21
548,26
549,21
550,28
551,50
552,50
553,50
554,50
555,50
556,32
557,27
558,50
559,50
560,50
561,50
562,50
563,50
564,50
565,29
566,50
567,50
568,23
569,20
570,50
571,50
572,50
573,50
574,23
575,36
576,20
577,50
578,27
579,50
580,50
581,40
582,50
583,50
584,50
585,50
586,50
587,50
588,50
589,40
590,50
591,50
592,50
593,50
594,50
595,20
596,50
597,50
598,21
599,50
600,50
601,50
602,50
603,50
604,50
605,50
606,50
607,50
608,50
609,37
610,50
