,userID,movieID,rating,predictedRating,details
0,91,2302,1.0,3.135600147180624,{'was_impossible': False}
1,446,11,4.0,3.203366814044201,{'was_impossible': False}
2,298,6942,2.0,2.661698398559345,{'was_impossible': False}
3,282,2115,4.0,3.8906231984061455,{'was_impossible': False}
4,153,1198,0.5,2.672368084067291,{'was_impossible': False}
5,42,1391,2.0,3.428377982979383,{'was_impossible': False}
6,105,5816,3.5,3.6184725462742597,{'was_impossible': False}
7,220,8368,4.5,4.328251073854947,{'was_impossible': False}
8,284,435,4.0,2.6878120530005547,{'was_impossible': False}
9,437,1265,5.0,3.9592284752716753,{'was_impossible': False}
10,590,161,4.0,3.4654103476743363,{'was_impossible': False}
11,603,1230,4.0,4.310786650454965,{'was_impossible': False}
12,211,1196,4.5,4.2147254345452705,{'was_impossible': False}
13,606,1278,3.5,3.9157283529027307,{'was_impossible': False}
14,247,54286,3.5,3.3913577168158278,{'was_impossible': False}
15,313,2762,4.0,2.993133751350138,{'was_impossible': False}
16,561,1552,2.5,3.012544874440465,{'was_impossible': False}
17,117,160,3.0,2.5934916039191345,{'was_impossible': False}
18,597,2012,3.0,3.3091263741912025,{'was_impossible': False}
19,20,3897,4.5,4.1360390599123935,{'was_impossible': False}
20,437,32,4.0,4.087722635868043,{'was_impossible': False}
21,450,908,4.0,4.515505148419463,{'was_impossible': False}
22,387,1610,3.0,3.471449883782773,{'was_impossible': False}
23,425,1923,3.5,3.4041138519472423,{'was_impossible': False}
24,222,1213,4.0,3.787888680206657,{'was_impossible': False}
25,260,3052,4.5,3.502738455365018,{'was_impossible': False}
26,597,1207,5.0,4.3512288605727845,{'was_impossible': False}
27,385,21,5.0,3.2608361565728248,{'was_impossible': False}
28,414,3481,5.0,4.272242860086196,{'was_impossible': False}
29,21,50872,3.5,3.7926847644766295,{'was_impossible': False}
30,325,555,4.0,3.70974751113764,{'was_impossible': False}
31,488,527,5.0,4.398256536269479,{'was_impossible': False}
32,211,70286,2.5,3.9391877451718145,{'was_impossible': False}
33,68,1258,3.5,3.421893110940877,{'was_impossible': False}
34,480,4886,2.5,3.8922688357511634,{'was_impossible': False}
35,469,260,4.0,4.7737040857647814,{'was_impossible': False}
36,493,6,4.0,3.9950891561018285,{'was_impossible': False}
37,477,48394,4.0,4.096994754877155,{'was_impossible': False}
38,428,3897,3.0,3.260451241111676,{'was_impossible': False}
39,480,2671,2.5,3.0650885974107966,{'was_impossible': False}
40,525,48394,4.0,3.7889424577216597,{'was_impossible': False}
41,247,589,3.5,3.621610795813714,{'was_impossible': False}
